target,status
"//:cpu","SUCCESS"
"//Sources/TestingMacros:TestingMacros","SUCCESS"
"//bazel/toolchains:empty","SUCCESS"
"//tools/swift:swift_rules","SUCCESS"
"//Sources/UmbraCryptoService/Resources:UmbraCryptoServiceResources","SUCCESS"
"//Sources/CoreErrors:CoreErrorsSources","SUCCESS"
"//tools:gen_time_types","SUCCESS"
"//tools:gen_url_path","SUCCESS"
"//tools:gen_secure_string","SUCCESS"
"//bazel/toolchains:macos_arm64_toolchain_config","SUCCESS"
"//bazel/toolchains:macos_arm64_test_toolchain","SUCCESS"
"//Sources/SecurityInterfaces:SecurityInterfacesTests_empty_src","SUCCESS"
"//Sources/Core/Services/TypeAliases:CoreServicesTypeAliases","SUCCESS"
"//Sources/SecureBytes:SecureBytes","SUCCESS"
"//Sources/LoggingWrapperInterfaces:LoggingWrapperInterfaces","SUCCESS"
"//Sources/Resources/Types:ResourcesTypes","SUCCESS"
"//Sources/CoreServicesTypes:CoreServicesTypes","SUCCESS"
"//Sources/CoreServicesTypesNoFoundation:CoreServicesTypesNoFoundation","SUCCESS"
"//Sources/ErrorHandling/Interfaces:ErrorHandlingInterfaces","SUCCESS"
"//Sources/ErrorHandling/Protocols:ErrorHandlingProtocols","SUCCESS"
"//Sources/ErrorHandling/Common:ErrorHandlingCommon","SUCCESS"
"//Sources/ErrorHandling/Models:ErrorHandlingModels","SUCCESS"
"//Sources/ServiceTypes:ServiceTypes","SUCCESS"
"//Sources/SecureString:SecureString","SUCCESS"
"//Sources/SecureString:SecureStringTests","SUCCESS"
"//Sources/UmbraLogging:UmbraLogging","SUCCESS"
"//Tests/ModelsTests:ModelsTests","SUCCESS"
"//Sources/ErrorHandling/ModuleInfo:ErrorHandlingModuleInfo","SUCCESS"
"//Sources/ErrorHandling/Notification:ErrorHandlingNotification","SUCCESS"
"//tools/swift:swift_rules_pkg","SUCCESS"
"//Sources/UmbraLoggingAdapters:UmbraLoggingAdapters","FAILED"
"//Sources/ErrorHandling/Examples:ErrorHandlingExamples","FAILED"
"//Sources/ErrorHandling/Logging:ErrorHandlingLogging","FAILED"
"//Sources/LoggingWrapper:LoggingWrapper","FAILED"
"//Sources/ErrorHandling/Domains:ErrorHandlingDomains","FAILED"
"//Sources/ErrorHandling/Core:ErrorHandlingCore","FAILED"
"//Sources/ErrorHandling/Types:ErrorHandlingTypes","FAILED"
"//Sources/ErrorHandling/Recovery:ErrorHandlingRecovery","FAILED"
"//Sources/Testing:Testing","FAILED"
"//Sources/ErrorHandling:ErrorHandling","FAILED"
"//Sources/Snapshots/Protocols:SnapshotsProtocols","FAILED"
"//Sources/ErrorHandling/Utilities:ErrorHandlingUtilities","FAILED"
"//Sources/Core/Services/Types:CoreServicesTypes","FAILED"
"//Sources/Resources/Protocols:ResourcesProtocols","FAILED"
"//Sources/ErrorHandling/Mapping:ErrorHandlingMapping","FAILED"
"//Sources/CryptoServiceProtocol:CryptoServiceProtocol","FAILED"
"//Sources/Features/Logging/Protocols:FeaturesLoggingProtocols","FAILED"
"//Sources/ResticCLIHelper/Types:ResticCLIHelperTypes","FAILED"
"//Sources/TestUtils:TestUtils","FAILED"
"//Sources/Features/Logging/Models:FeaturesLoggingModels","FAILED"
"//Sources/Resources:Resources","FAILED"
"//Sources/Snapshots:Snapshots","FAILED"
"//Sources/ResticCLIHelper/Protocols:ResticCLIHelperProtocols","FAILED"
"//Sources/ResticCLIHelper/Models:ResticCLIHelperModels","FAILED"
"//Sources/ResticTypes:ResticTypes","FAILED"
"//Sources/Features/Crypto/Protocols:FeaturesCryptoProtocols","FAILED"
"//Sources/Features/Crypto/Models:FeaturesCryptoModels","FAILED"
"//Sources/Autocomplete/Protocols:Protocols","FAILED"
"//Sources/UmbraMocks:UmbraMocks","FAILED"
"//Tests/UmbraXPCTests:UmbraXPCTests","FAILED"
"//Tests/ResticTypesTests:ResticTypesTests","FAILED"
"//Sources/Features/Logging/Errors:FeaturesLoggingErrors","FAILED"
"//Sources/ResticCLIHelper/Commands:ResticCLIHelperCommands","FAILED"
"//Sources/Autocomplete:Autocomplete","FAILED"
"//Sources/SecurityTypes/Protocols:SecurityTypesProtocols","FAILED"
"//Sources/UmbraCoreTypes/CoreErrors:UmbraCoreTypesCoreErrors","FAILED"
"//Sources/UmbraCoreTypes:UmbraCoreTypes","FAILED"
"//Sources/SecurityTypes:SecurityTypes","FAILED"
"//Sources/ObjCBridgingTypesFoundation:ObjCBridgingTypesFoundationForTesting","FAILED"
"//Sources/ObjCBridgingTypes:ObjCBridgingTypesForTesting","FAILED"
"//Sources/XPCProtocolsCore:XPCProtocolsCore","FAILED"
"//Sources/UmbraCoreTypes:UmbraCoreTypesTests","FAILED"
"//Sources/CoreErrors:CoreErrors","FAILED"
"//Sources/Repositories/Types:RepositoriesTypes","FAILED"
"//Sources/XPC:XPC","FAILED"
"//Sources/ObjCBridgingTypes:ObjCBridgingTypes","FAILED"
"//Sources/UmbraBookmarkService:UmbraBookmarkService","FAILED"
"//Sources/Repositories:Repositories","FAILED"
"//Sources/Repositories/Protocols:RepositoriesProtocols","FAILED"
"//Sources/SecurityUtils/Protocols:SecurityUtilsProtocols","FAILED"
"//Sources/SecurityTypes/Types:SecurityTypesTypes","FAILED"
"//Sources/CoreTypesInterfaces:CoreTypesInterfacesTests","FAILED"
"//Tests/ResourcesTests:ResourcesTests","FAILED"
"//Tests/ErrorHandlingTests:ErrorHandlingTests_disabled","FAILED"
"//Sources/FoundationBridgeTypes:FoundationBridgeTypes","FAILED"
"//Sources/CoreTypesInterfaces:CoreTypesInterfaces","FAILED"
"//Sources/SecurityInterfacesProtocols:SecurityInterfacesProtocolsForTesting","FAILED"
"//Sources/CoreTypesImplementation:CoreTypesImplementation","FAILED"
"//Sources/CoreTypesImplementation/Tests:CoreTypesImplementationTests","FAILED"
