Module,File Path,Lines of Code,Function Count,Avg Function Length,Max Function Length,Max Nesting Level,Control Structures,Long Functions,Deep Nesting,Complexity Score
.build,/Users/mpy/CascadeProjects/UmbraCore/.build/checkouts/swift-foundation/Tests/FoundationEssentialsTests/JSONEncoderTests.swift,4529,1,4529.0,0,27,218,0,605,7757.8
.build,/Users/mpy/CascadeProjects/UmbraCore/.build/checkouts/swift-syntax/Sources/SwiftSyntax/generated/SyntaxVisitor.swift,7085,1,7085.0,7058,3,295,1,0,4364.5
.build,/Users/mpy/CascadeProjects/UmbraCore/.build/checkouts/swift-collections/Tests/HashTreeCollectionsTests/TreeDictionary Tests.swift,2621,1,2621.0,2599,9,30,1,229,3468.6
.build,/Users/mpy/CascadeProjects/UmbraCore/.build/checkouts/swift-syntax/Sources/SwiftSyntax/generated/SyntaxRewriter.swift,4895,1,4895.0,4861,5,9,1,4,3006.7
.build,/Users/mpy/CascadeProjects/UmbraCore/.build/checkouts/swift-foundation/Sources/FoundationInternationalization/Calendar/Calendar_ICU.swift,2288,4,572.0,1970,6,300,2,264,2766.8
.build,/Users/mpy/CascadeProjects/UmbraCore/.build/checkouts/swift-foundation/Sources/FoundationEssentials/Data/Data.swift,2855,9,317.2,2099,8,245,2,261,2665.6
.build,/Users/mpy/CascadeProjects/UmbraCore/.build/checkouts/swift-foundation/Sources/FoundationEssentials/Calendar/Calendar_Gregorian.swift,3119,12,259.9,2518,7,484,5,249,2664.1
.build,/Users/mpy/CascadeProjects/UmbraCore/.build/checkouts/swift-syntax/Sources/SwiftParser/generated/Parser+TokenSpecSet.swift,4225,0,0.0,0,4,245,0,244,2468.0
.build,/Users/mpy/CascadeProjects/UmbraCore/.build/checkouts/swift-foundation/Tests/FoundationEssentialsTests/GregorianCalendarTests.swift,3900,1,3900.0,3871,3,12,1,0,2368.6
.build,/Users/mpy/CascadeProjects/UmbraCore/.build/checkouts/swift-syntax/Sources/SwiftSyntax/generated/raw/RawSyntaxValidation.swift,3733,1,3733.0,3714,5,69,1,7,2351.5
.build,/Users/mpy/CascadeProjects/UmbraCore/.build/checkouts/swift-foundation/Sources/FoundationEssentials/Calendar/Calendar_Enumerate.swift,2474,15,164.9,1739,8,386,5,226,2343.7
