Target,Target Type,Total LOC,File,File LOC
//Sources/API:API,swift_library,0,,
//Sources/Autocomplete/Protocols:Protocols,swift_library,0,,
//Sources/Autocomplete:Autocomplete,swift_library,5,,
,,,Sources/Autocomplete/Protocols/AutocompleteProtocol.swift,5
//Sources/Core/Services/TypeAliases:CoreServicesSecurityTypeAliases,swift_library,0,,
//Sources/Core/Services/TypeAliases:CoreServicesTypeAliases,swift_library,0,,
//Sources/Core/Services/Types:CoreServicesTypes,swift_library,0,,
//Sources/Core/Services:CoreServices,swift_library,267,,
,,,Sources/Core/Services/TypeAliases/CoreTypes.swift,2
,,,Sources/Core/Services/TypeAliases/XPCServiceProtocolAlias.swift,23
,,,Sources/Core/Services/Types/KeyMetadata.swift,64
,,,Sources/Core/Services/Types/KeyStatus.swift,77
,,,Sources/Core/Services/Types/SecurityPolicy.swift,50
,,,Sources/Core/Services/Types/ServiceState.swift,22
,,,Sources/Core/Services/Types/StorageLocation.swift,11
,,,Sources/Core/Services/Types/ValidationResult.swift,13
,,,Sources/Core/Services/Types/XPCServiceProtocol.swift,5
//Sources/Core/UmbraCore:CoreUmbraCore,swift_library,0,,
//Sources/Core:Core,swift_library,1659,,
,,,Sources/Core/Extensions/TimeInterval+Extensions.swift,24
,,,Sources/Core/Services/CoreService.swift,48
,,,Sources/Core/Services/CryptoError.swift,70
,,,Sources/Core/Services/CryptoService.swift,288
,,,Sources/Core/Services/KeyManager.swift,424
,,,Sources/Core/Services/SecurityError.swift,94
,,,Sources/Core/Services/SecurityService.swift,289
,,,Sources/Core/Services/ServiceContainer.swift,274
,,,Sources/Core/Services/UmbraService.swift,83
,,,Sources/Core/UmbraCore/UmbraCore.swift,65
//Sources/CoreErrors:CoreErrors,swift_library,0,,
//Sources/CoreErrors:CoreErrorsSources,unknown,0,,
//Sources/CoreServicesTypes:CoreServicesTypes,swift_library,0,,
//Sources/CoreServicesTypesNoFoundation:CoreServicesTypesNoFoundation,swift_library,0,,
//Sources/CoreTypesImplementation:CoreTypesImplementation,swift_library,569,,
,,,Sources/CoreTypesImplementation/Sources/CoreTypesImplementation.swift,58
,,,Sources/CoreTypesImplementation/Sources/DefaultCoreProvider.swift,91
